"NMFS_DNA_ID","category","life_stage","collection_location","group_name","pipe_name"
"AM000086","reference","juvenile","Sacramento River","rjSac","rjSac086"
"AM000087","reference","juvenile","Sacramento River","rjSac","rjSac087"
"AM000088","reference","juvenile","Sacramento River","rjSac","rjSac088"
"AM000089","reference","juvenile","Sacramento River","rjSac","rjSac089"
"AM000090","reference","juvenile","Sacramento River","rjSac","rjSac090"
"AM000091","reference","juvenile","Sacramento River","rjSac","rjSac091"
"AM000092","reference","juvenile","Sacramento River","rjSac","rjSac092"
"AM000093","reference","juvenile","Sacramento River","rjSac","rjSac093"
"AM000094","reference","juvenile","Sacramento River","rjSac","rjSac094"
"AM000095","reference","juvenile","Sacramento River","rjSac","rjSac095"
"AM000096","reference","juvenile","Sacramento River","rjSac","rjSac096"
"AM000097","reference","non-juvenile","Sacramento River","rnSac","rnSac097"
"AM000098","reference","non-juvenile","Sacramento River","rnSac","rnSac098"
"AM000099","reference","juvenile","Sacramento River","rjSac","rjSac099"
"AM000100","reference","juvenile","Sacramento River","rjSac","rjSac100"
"AM000101","reference","juvenile","Sacramento River","rjSac","rjSac101"
"AM000102","reference","juvenile","Klamath River","rjKla","rjKla102"
"AM000103","reference","juvenile","Klamath River","rjKla","rjKla103"
"AM000104","reference","juvenile","Klamath River","rjKla","rjKla104"
"AM000105","reference","juvenile","Klamath River","rjKla","rjKla105"
"AM000106","reference","juvenile","Klamath River","rjKla","rjKla106"
"AM000107","reference","juvenile","Klamath River","rjKla","rjKla107"
"AM000108","reference","juvenile","Klamath River","rjKla","rjKla108"
"AM000109","reference","juvenile","Klamath River","rjKla","rjKla109"
"AM000110","reference","juvenile","Klamath River","rjKla","rjKla110"
"AM000111","reference","juvenile","Klamath River","rjKla","rjKla111"
"AM000112","reference","juvenile","Klamath River","rjKla","rjKla112"
"AM000113","reference","juvenile","Klamath River","rjKla","rjKla113"
"AM000114","reference","juvenile","Klamath River","rjKla","rjKla114"
"AM000115","reference","juvenile","Klamath River","rjKla","rjKla115"
"AM000116","reference","juvenile","Klamath River","rjKla","rjKla116"
"AM000117","reference","juvenile","Klamath River","rjKla","rjKla117"
"AM000118","reference","juvenile","Klamath River","rjKla","rjKla118"
"AM000119","non-reference","non-juvenile","Bycatch","nnByc","nnByc119"
"AM000121","non-reference","non-juvenile","Bycatch","nnByc","nnByc121"
"AM000122","non-reference","non-juvenile","Bycatch","nnByc","nnByc122"
"AM000123","non-reference","non-juvenile","Bycatch","nnByc","nnByc123"
"AM000124","non-reference","non-juvenile","Bycatch","nnByc","nnByc124"
"AM000125","non-reference","non-juvenile","Bycatch","nnByc","nnByc125"
"AM000126","non-reference","non-juvenile","Bycatch","nnByc","nnByc126"
"AM000127","non-reference","non-juvenile","Bycatch","nnByc","nnByc127"
"AM000128","non-reference","non-juvenile","Bycatch","nnByc","nnByc128"
"AM000130","non-reference","non-juvenile","Bycatch","nnByc","nnByc130"
"AM000132","non-reference","non-juvenile","Bycatch","nnByc","nnByc132"
"AM000133","non-reference","non-juvenile","Bycatch","nnByc","nnByc133"
"AM000134","non-reference","non-juvenile","Bycatch","nnByc","nnByc134"
"AM000135","non-reference","non-juvenile","Bycatch","nnByc","nnByc135"
"AM000136","non-reference","non-juvenile","Bycatch","nnByc","nnByc136"
"AM000137","non-reference","non-juvenile","Bycatch","nnByc","nnByc137"
"AM000138","non-reference","non-juvenile","Bycatch","nnByc","nnByc138"
"AM000139","non-reference","non-juvenile","Bycatch","nnByc","nnByc139"
"AM000143","non-reference","non-juvenile","Bycatch","nnByc","nnByc143"
"AM000144","non-reference","non-juvenile","Bycatch","nnByc","nnByc144"
"AM000145","non-reference","non-juvenile","Bycatch","nnByc","nnByc145"
"AM000146","non-reference","non-juvenile","Bycatch","nnByc","nnByc146"
"AM000147","non-reference","non-juvenile","Bycatch","nnByc","nnByc147"
"AM000149","non-reference","non-juvenile","Bycatch","nnByc","nnByc149"
"AM000150","non-reference","non-juvenile","Bycatch","nnByc","nnByc150"
"AM000151","non-reference","non-juvenile","Bycatch","nnByc","nnByc151"
"AM000153","non-reference","non-juvenile","Bycatch","nnByc","nnByc153"
"AM000155","non-reference","non-juvenile","Bycatch","nnByc","nnByc155"
"AM000156","non-reference","non-juvenile","Bycatch","nnByc","nnByc156"
"AM000158","non-reference","non-juvenile","Bycatch","nnByc","nnByc158"
"AM000159","non-reference","non-juvenile","Bycatch","nnByc","nnByc159"
"AM000160","non-reference","non-juvenile","Bycatch","nnByc","nnByc160"
"AM000161","non-reference","non-juvenile","Bycatch","nnByc","nnByc161"
"AM000162","non-reference","non-juvenile","Bycatch","nnByc","nnByc162"
"AM000163","non-reference","non-juvenile","Bycatch","nnByc","nnByc163"
